<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20110127,000000,197.8800000,202.0000000,195.7300000,201.3000000,126860884
GAZP,D,20110128,000000,200.5300000,202.2400000,199.0300000,199.7000000,77685896
GAZP,D,20110131,000000,198.4800000,198.7000000,195.8300000,196.9800000,50887125
GAZP,D,20110201,000000,198.4300000,205.0000000,197.8000000,204.9100000,87925574
GAZP,D,20110202,000000,205.5000000,211.2400000,205.4000000,209.5100000,140814431
GAZP,D,20110203,000000,210.4200000,212.9000000,206.3000000,207.0300000,90014503
GAZP,D,20110204,000000,208.3000000,213.7500000,207.7000000,213.3000000,112591143
GAZP,D,20110207,000000,213.9000000,215.2000000,210.7500000,213.6000000,67542008
GAZP,D,20110208,000000,213.2000000,216.6500000,210.2800000,210.4000000,116194137
GAZP,D,20110209,000000,211.5400000,215.4500000,209.6900000,215.1500000,86628289
GAZP,D,20110210,000000,214.0300000,214.8700000,208.0100000,208.2200000,87342082
GAZP,D,20110211,000000,208.3100000,210.3000000,205.2200000,208.5000000,80493458
GAZP,D,20110214,000000,210.0100000,211.4800000,203.5000000,203.5100000,71882630
GAZP,D,20110215,000000,203.7100000,205.2000000,199.3300000,199.5000000,84116617
GAZP,D,20110216,000000,200.0200000,200.9000000,196.0700000,199.4000000,104428611
GAZP,D,20110217,000000,200.5200000,201.1300000,195.2200000,195.4500000,68943114
GAZP,D,20110218,000000,196.2800000,197.2700000,194.1200000,195.5000000,67867279
GAZP,D,20110221,000000,196.2900000,199.3600000,194.8500000,198.9200000,54732567
GAZP,D,20110222,000000,197.5000000,198.4500000,195.5200000,197.8000000,56384196
GAZP,D,20110224,000000,199.8000000,209.3000000,199.2700000,208.0500000,147395444
GAZP,D,20110225,000000,208.9000000,211.2500000,205.1100000,209.3000000,92056064
GAZP,D,20110228,000000,210.2900000,212.7500000,207.2500000,210.7100000,67884559
GAZP,D,20110301,000000,212.3700000,214.9000000,208.2500000,209.4800000,99433930
GAZP,D,20110302,000000,208.3000000,212.1500000,207.8800000,212.0000000,65704160
GAZP,D,20110303,000000,212.6200000,215.3000000,212.6000000,213.5400000,84652840
GAZP,D,20110304,000000,214.2400000,214.8800000,212.1200000,212.9000000,49119910
GAZP,D,20110305,000000,213.0800000,214.3900000,212.8000000,214.1200000,17906080
GAZP,D,20110309,000000,214.3900000,216.1200000,212.0600000,214.7700000,56843450
GAZP,D,20110310,000000,213.5500000,214.4400000,207.6700000,207.9500000,66812850
GAZP,D,20110311,000000,205.9000000,209.8800000,204.0000000,209.1000000,77281830
GAZP,D,20110314,000000,208.0900000,217.2800000,207.9100000,216.2500000,134332220
GAZP,D,20110315,000000,212.9900000,217.6500000,210.2800000,217.5000000,159041750
GAZP,D,20110316,000000,219.3400000,224.1500000,218.5200000,221.8100000,165679720
GAZP,D,20110317,000000,221.6500000,225.8400000,221.4500000,224.9100000,109912800
GAZP,D,20110318,000000,226.5300000,226.8900000,221.6500000,224.1000000,76465280
GAZP,D,20110321,000000,225.0200000,226.1500000,221.7500000,222.3600000,54644880
GAZP,D,20110322,000000,222.6700000,223.3500000,219.5300000,220.3200000,53503650
GAZP,D,20110323,000000,219.6100000,223.7000000,219.2000000,223.5000000,61392750
GAZP,D,20110324,000000,223.8900000,225.1000000,221.3500000,224.3000000,84739210
GAZP,D,20110325,000000,224.8700000,225.1900000,222.3600000,222.8100000,54964450
GAZP,D,20110328,000000,223.0100000,225.7200000,222.8900000,225.5000000,54259690
GAZP,D,20110329,000000,225.9000000,226.1700000,222.5100000,224.0100000,59590940
